"Año","Mes","Día","Periodo","Cantidad_siniestros","Valor_siniestro_incurrido_update"
"2018","07","30",201807,2,8277357.0459928
"2018","07","31",201807,2,214529323.815341
"2018","08","01",201808,1,30004537.2752045
"2018","08","02",201808,2,57509821.1199315
"2018","08","03",201808,2,9940131.64329544
"2018","08","04",201808,3,13512715.9603516
"2018","08","05",201808,3,13419573.0437533
"2018","08","09",201808,1,80337303.6144345
"2018","08","10",201808,3,115827191.719979
"2018","08","11",201808,1,25676346.2588495
"2018","08","12",201808,3,43493465.1579421
"2018","08","13",201808,2,8373314.596295
"2018","08","14",201808,3,53606801.913956
"2018","08","15",201808,3,105198276.561589
"2018","08","16",201808,2,15889691.7756288
"2018","08","17",201808,1,3242453.912304
"2018","08","19",201808,1,14638429.214161
"2018","08","20",201808,2,21260126.0467429
"2018","08","21",201808,2,16038231.6543577
"2018","08","22",201808,2,55205019.1427489
"2018","08","23",201808,1,8638223.88751081
"2018","08","24",201808,3,28310638.4174527
"2018","08","25",201808,2,20889184.681337
"2018","08","28",201808,2,12485347.059625
"2018","08","29",201808,3,85389002.4478725
"2018","08","30",201808,2,9388597.895328
"2018","08","31",201808,1,6885543.45388987
"2018","09","01",201809,1,25903781.8791937
"2018","09","03",201809,4,55600570.944619
"2018","09","04",201809,1,39899901.4199862
"2018","09","05",201809,1,25363774.8952449
"2018","09","06",201809,2,10546290.7584944
"2018","09","07",201809,1,3661514.895528
"2018","09","08",201809,2,41372542.3692181
"2018","09","09",201809,2,17622872.1991936
"2018","09","10",201809,1,3427885.8753747
"2018","09","11",201809,3,84314560.4710439
"2018","09","12",201809,6,28886345.5720641
"2018","09","13",201809,2,49552549.9229759
"2018","09","14",201809,4,39671206.7845931
"2018","09","15",201809,3,28852085.8365688
"2018","09","17",201809,1,0
"2018","09","19",201809,1,4510631.8812016
"2018","09","20",201809,3,43608859.9214749
"2018","09","22",201809,3,122382308.717291
"2018","09","23",201809,1,48186143.2565792
"2018","09","24",201809,3,48616038.9410954
"2018","09","26",201809,2,38049507.1349112
"2018","09","29",201809,1,0
"2018","10","01",201810,3,13187684.7825092
"2018","10","02",201810,3,13451838.8117733
"2018","10","03",201810,1,6144554.927806
"2018","10","04",201810,1,51342961.9250734
"2018","10","05",201810,2,15058629.6199559
"2018","10","06",201810,5,58671533.3262601
"2018","10","07",201810,3,8968245.10448
"2018","10","08",201810,1,5573985.522336
"2018","10","10",201810,1,6868951.855808
