"Año","Mes","Día","Periodo","Cantidad_siniestros","Valor_siniestro_incurrido_update"
"2018","03","01",201803,4,10712916.9164987
"2018","03","02",201803,1,443792.687764888
"2018","03","03",201803,1,1203850.9491162
"2018","03","04",201803,7,24377940.7437246
"2018","03","08",201803,1,823022.661555864
"2018","03","09",201803,1,1826578.42648081
"2018","03","10",201803,3,6711773.56081725
"2018","03","11",201803,1,3329714.13792679
"2018","03","12",201803,1,1194269.21077402
"2018","03","13",201803,1,3979834.88083658
"2018","03","14",201803,2,5792578.22188707
"2018","03","15",201803,4,7175321.20316458
"2018","03","16",201803,1,4834133.5905595
"2018","03","17",201803,4,2089698.54018464
"2018","03","18",201803,2,1248257.60301396
"2018","03","19",201803,1,883313.703825168
"2018","03","20",201803,3,0
"2018","03","21",201803,2,1399364.4264446
"2018","03","22",201803,1,2919855.58575049
"2018","03","23",201803,3,14892294.6542173
"2018","03","24",201803,3,3756078.07936592
"2018","03","25",201803,6,7769307.53763965
"2018","03","26",201803,2,4291197.60148464
"2018","03","27",201803,4,11926972.6409169
"2018","03","28",201803,4,7916486.7849415
"2018","03","29",201803,2,3720467.24137088
"2018","03","30",201803,1,3840105.60816159
"2018","03","31",201803,2,3827393.41450682
"2018","04","01",201804,6,15439818.7773846
"2018","04","02",201804,2,2544529.07133538
"2018","04","03",201804,5,12596150.742175
"2018","04","05",201804,2,881198.82608379
"2018","04","06",201804,3,3769436.32751962
"2018","04","07",201804,1,1431748.78151122
"2018","04","08",201804,2,3659925.53855499
"2018","04","09",201804,1,1981358.29428795
"2018","04","10",201804,4,7515130.03269817
"2018","04","12",201804,2,5474932.12133638
"2018","04","13",201804,1,1104768.24655063
"2018","04","14",201804,3,2545582.24523254
"2018","04","15",201804,2,4045910.21727344
"2018","04","16",201804,3,4285781.99781466
"2018","04","18",201804,1,491018.71692257
"2018","04","19",201804,1,0
"2018","04","20",201804,1,624376.73470022
"2018","04","21",201804,2,3127827.9616593
"2018","04","22",201804,1,881198.82608379
"2018","04","24",201804,2,15291777.2608557
"2018","04","25",201804,2,9429133.94621532
"2018","04","26",201804,2,4451398.41722716
"2018","04","27",201804,3,4709047.20441814
"2018","04","29",201804,1,2833299.80732522
"2018","04","30",201804,4,3420739.28586389
"2018","05","01",201805,2,1098803.77522657
"2018","05","02",201805,1,1823445.14445586
"2018","05","03",201805,3,3966602.10751922
"2018","05","05",201805,5,2902956.01740163
"2018","05","07",201805,1,2368732.47996881
"2018","05","08",201805,1,4281100.47522219
"2018","05","09",201805,1,2970014.11811901
"2018","05","10",201805,3,6410357.93537951
"2018","05","11",201805,1,161411.755908768
"2018","05","12",201805,2,8463154.48177639
"2018","05","13",201805,3,3146441.46182786
"2018","05","14",201805,4,6515425.60117517
"2018","05","15",201805,1,0
"2018","05","16",201805,1,1598044.52128834
"2018","05","17",201805,4,3922562.24679512
"2018","05","18",201805,2,8001638.21389061
"2018","05","19",201805,1,1553349.56725686
"2018","05","20",201805,4,10159912.8703467
"2018","05","21",201805,2,4061837.30802547
"2018","05","23",201805,4,17385127.0153315
"2018","05","24",201805,4,13218532.4020742
"2018","05","25",201805,5,8171174.94651448
"2018","05","26",201805,3,6687201.58021237
"2018","05","27",201805,6,8717798.75325019
"2018","05","28",201805,2,2912528.6694503
"2018","05","29",201805,3,13434714.2044547
