"","Fecha","Numero_polizas","Suma_primas","Exposicion"
"262",2018-09-19,139672,254938775244.993,36196.3671232877
"263",2018-09-20,139966,255409747405.051,35934.7808219178
"264",2018-09-21,138709,253903742169.212,35635.5589041096
"265",2018-09-22,138309,253287128765.99,35294.0520547945
"266",2018-09-23,138282,253206138019.813,34945.0657534247
"267",2018-09-24,138285,253149765513.206,34615.0301369863
"268",2018-09-25,138520,253687190676.22,34324.904109589
"269",2018-09-26,138630,253812050180.059,34015.4821917808
"270",2018-09-27,138809,254088188388.296,33726.9753424658
"271",2018-09-28,139114,254597557772.414,33472.8821917808
"272",2018-09-29,139080,254480898143.127,33135.7068493151
"273",2018-09-30,139089,254435574777.937,32826.304109589
"274",2018-10-01,139317,254653134497.683,32577.0493150685
"275",2018-10-02,139032,254175638172.294,32267.9479452055
"276",2018-10-03,139200,254446806555.34,31958.2575342466
"277",2018-10-04,139324,254609054254.014,31643.3452054795
"278",2018-10-05,139616,255026633886.047,31364.2054794521
"279",2018-10-06,139583,254896199755.349,31017.301369863
"280",2018-10-07,139509,254744182393.12,30657.9424657534
"281",2018-10-08,139557,254771999397.975,30321.9342465753
"282",2018-10-09,139755,255113844389.162,30002.7917808219
"283",2018-10-10,139912,255284194988.484,29688.1287671233
"284",2018-10-11,139926,255234361093.84,29351.2191780822
"285",2018-10-12,140070,255401371982.331,29030.5753424658
"286",2018-10-13,140036,255305398179.687,28671.6821917808
"287",2018-10-14,139950,255109561727.874,28302.6602739726
"288",2018-10-15,139877,254945229978.024,27928.8383561644
"289",2018-10-16,139953,255059432796.207,27579.0821917808
"290",2018-10-17,140096,255259411316.204,27239.9095890411
"291",2018-10-18,140177,255320611271.676,26893.8794520548
"292",2018-10-19,140280,255456542816.786,26562.4657534247
"293",2018-10-20,140233,255331245076.572,26200.2684931507
"294",2018-10-21,140130,255076745850.667,25830.1589041096
"295",2018-10-22,140184,255141311835.311,25476.3726027397
"296",2018-10-23,140213,255146978292.083,25115.0493150685
"297",2018-10-24,140250,255151044745.473,24762.9397260274
"298",2018-10-25,140281,255135109770.887,24420.7123287671
"299",2018-10-26,140353,255188317848.001,24080.7890410959
"300",2018-10-27,140011,254688748304.82,23719.0767123288
"301",2018-10-28,139931,254469117074.996,23354.0493150685
"302",2018-10-29,139757,254313165512.725,23008.6767123288
"303",2018-10-30,139899,254547657734.477,22669.9890410959
"304",2018-10-31,140116,254782838143.289,22352.9232876712
"305",2018-11-01,140288,254877952537.203,22054.4356164384
"306",2018-11-02,140050,254384873290.292,21720.5616438356
"307",2018-11-03,139850,254089334429.643,21356
"308",2018-11-04,139827,254004318035.542,20989.4383561644
"309",2018-11-05,139766,253860959284.792,20615.8876712329
"310",2018-11-06,139876,254004814609.027,20259.9753424658
"311",2018-11-07,139982,254149213423.148,19904.1178082192
"312",2018-11-08,140074,254274035030.656,19555.0410958904
"313",2018-11-09,140189,254421802657.713,19208.4273972603
"314",2018-11-10,140124,254274945610.304,18842.0493150685
"315",2018-11-11,140049,254078522970.073,18468.2739726027
"316",2018-11-12,139992,253945205808.298,18090.2136986301
"317",2018-11-13,140089,254055598653.758,17728.6931506849
"318",2018-11-14,140164,254156504831.607,17367.1589041096
