"Año","Mes","Día","Perdida_total_hurto","Perdida_parcial_danos","Responsabilidad_civil_bienes","Perdida_parcial_hurto","Responsabilidad_civil_personas"
"2018","07","27",0,162201905,10988023,1231118,10885503
"2018","07","28",24822966,189814275,26834289,0,1179154
"2018","07","29",17242763,198143627,10423205,2648020,1104155
"2018","07","30",8220512,169078107,13555059,0,0
"2018","07","31",213056036,188882141,7091612,1669168,4248963
"2018","08","01",29759742,97949579,20089165,0,15469443
"2018","08","02",57040621,148235106,5367560,0,0
"2018","08","03",9859034,131011369,12539528,1250000,26708703
"2018","08","04",7530471,188315084,17172710,2717066,1750738
"2018","08","05",7606088,136053419,10629223,1613687,127111390
"2018","08","06",0,110379806,10572579,4854509,13110478
"2018","08","07",0,119939615,8375816,6804675,0
"2018","08","08",0,149865798,30057078,0,1600305
"2018","08","09",79681863,78138349,10399541,1151082,1529932
"2018","08","10",114882203,152735197,12890545,0,0
"2018","08","11",25466863,188023104,19574314,2573993,0
"2018","08","12",43138619,128045032,6441323,0,0
"2018","08","13",345000,115989778,6768987,1223291,0
"2018","08","14",46577445,183326100,23262024,11429461,0
"2018","08","15",104340005,125803175,8409350,1786124,0
"2018","08","16",9431254,132548732,13266410,2294651,7869876
"2018","08","17",0,146764425,9614562,0,0
"2018","08","18",0,232587777,18790835,6791238,98630
"2018","08","19",14519000,80402990,14854556,10872278,0
"2018","08","20",21086673,204797647,9714238,5704044,75000
"2018","08","21",15907382,148999904,18191537,10704929,0
"2018","08","22",54754623,174248347,12361519,4928740,0
"2018","08","23",8567748,179173993,14105404,3667899,0
"2018","08","24",28079663,173487524,12011896,5389594,0
"2018","08","25",5518758,239435452,8703473,0,1621727
"2018","08","26",0,127946528,3014191,636202,0
"2018","08","27",0,148548730,7923532,0,0
"2018","08","28",9167484,142329562,11308047,4217491,23584997
"2018","08","29",84692347,236710152,22136851,5955170,1621727
"2018","08","30",3992000,111433906,13843207,563303,36813350
"2018","08","31",5230034,123960703,5098388,10605772,0
"2018","09","01",25723274,174336591,19671803,5822605,0
"2018","09","02",0,137361039,11887660,0,517573
"2018","09","03",55213124,150986130,0,0,2634098
"2018","09","04",39621863,129693729,25031144,0,1435402
"2018","09","05",25187030,203614482,9626101,0,372293
"2018","09","06",0,106810816,8710554,2909918,1621727
"2018","09","07",0,86819513,8152488,1268196,17785126
"2018","09","08",40484242,190079814,26919003,720000,0
"2018","09","09",17500069,115953496,8251637,0,517575
"2018","09","10",0,93215736,1300242,3602229,2275000
"2018","09","11",83727023,115383087,16672484,2157771,0
"2018","09","12",28685054,150665528,8564283,0,5075000
"2018","09","13",49207248,146577509,6494615,8703582,3285122
"2018","09","14",32299563,171782406,11410691,6436294,1559229
"2018","09","15",28161583,241886978,5023364,3661516,1621729
"2018","09","16",0,172090411,2442258,2593636,54769446
"2018","09","17",0,139807526,18610318,0,2409298
"2018","09","18",0,158135268,16462191,3142644,0
"2018","09","19",4479200,169531136,7121970,13980996,0
"2018","09","20",40248976,196563773,11599566,2529499,517573
"2018","09","21",0,168901585,25477125,1483891,1695415
"2018","09","22",81329500,141699972,29348328,7596558,0
"2018","09","23",47850363,133592045,7629543,0,0
"2018","09","24",48277263,138015968,3936453,1311455,0
"2018","09","25",0,128177683,7753444,2119062,0
"2018","09","26",37784363,88619261,4760489,916610,0
